IDLE	0	Direction	0
NATURAL	1	Direction	0	C0	120
MEDIUM	1	Direction	0	C#0	120
STRONG 1	1	Direction	0	D0	120
STRONG 2	1	Direction	0	D#0	120
VIBRATO	1	Direction	0	E0	120
HEAVY VIBRATO	1	Direction	0	F0	120
STACMO	1	Direction	0	F#0	120
MARCATO	1	Direction	0	G0	120
